chrom	mk	pos.start	pos.end
3	3.039	10200001	10300000
3	3.04	10300001	10400000
3	3.041	10400001	10500000
3	3.042	10500001	10600000
3	3.043	10600001	10700000
3	3.044	10700001	10800000
3	3.045	10800001	10900000
3	3.046	10900001	11000000
3	3.047	11000001	11100000
3	3.048	11100001	11200000
3	3.049	11200001	11300000
3	3.05	11300001	11400000
3	3.051	11400001	11500000
3	3.052	11500001	11600000
3	3.053	11600001	11700000
3	3.054	11700001	11800000
3	3.055	11800001	11900000
3	3.056	11900001	12000000
3	3.057	12000001	12100000
3	3.058	12100001	12200000
3	3.059	12200001	12300000
3	3.06	12300001	12400000
3	3.061	12400001	12500000
3	3.062	12500001	12600000
3	3.063	12600001	12700000
3	3.064	12700001	12800000
3	3.065	12800001	12900000
3	3.066	12900001	13000000
3	3.067	13000001	13100000
3	3.068	13100001	13200000
3	3.069	13200001	13300000
3	3.07	13300001	13400000
3	3.071	13400001	13500000
3	3.072	13500001	13600000
3	3.073	13600001	13700000
3	3.074	13700001	13800000
3	3.075	13800001	13900000
3	3.076	13900001	14000000
3	3.077	14000001	14500000
3	3.078	14500001	15000000
3	3.079	15000001	15500000
3	3.08	15500001	16000000
3	3.081	16000001	16500000
3	3.082	16500001	17000000
3	3.083	17000001	17500000
3	3.084	17500001	18000000
3	3.085	18000001	18500000
3	3.086	18500001	19000000
3	3.087	19000001	19500000
3	3.088	19500001	20000000
3	3.089	20000001	20500000
3	3.09	20500001	21000000
3	3.091	21000001	21100000
3	3.092	21100001	21200000
3	3.093	21200001	21300000
3	3.094	21300001	21400000
3	3.095	21400001	21500000
3	3.096	21500001	21600000
3	3.097	21600001	21700000
3	3.098	21700001	21800000
3	3.099	21800001	21900000
3	3.1	21900001	22000000
3	3.101	22000001	22500000
3	3.102	22500001	23000000
3	3.103	23000001	23500000
3	3.104	23500001	24000000
3	3.105	24000001	24500000
3	3.106	24500001	24600000
3	3.107	24600001	24700000
3	3.108	24700001	24800000
3	3.109	24800001	24900000
3	3.11	24900001	25000000
3	3.111	25000001	25100000
3	3.112	25100001	25200000
3	3.113	25200001	25300000
3	3.114	25300001	25400000
3	3.115	25400001	25500000
3	3.116	25500001	26000000
3	3.117	26000001	26500000
3	3.118	26500001	27000000
3	3.119	27000001	27500000
3	3.12	27500001	28000000
3	3.121	28000001	28500000
3	3.122	28500001	29000000
3	3.123	29000001	29500000
3	3.124	29500001	30000000
3	3.125	30000001	30500000
3	3.126	30500001	31000000
3	3.127	31000001	31500000
3	3.128	31500001	32000000
3	3.129	32000001	32500000
3	3.13	32500001	33000000
3	3.131	33000001	33500000
3	3.132	33500001	34000000
3	3.133	34000001	34500000
3	3.134	34500001	35000000
3	3.135	35000001	35500000
3	3.136	35500001	36000000
3	3.137	36000001	36500000
3	3.138	36500001	37000000
3	3.139	37000001	37500000
3	3.14	37500001	38000000
3	3.141	38000001	38500000
3	3.142	38500001	39000000
3	3.143	39000001	39500000
3	3.144	39500001	40000000
3	3.145	40000001	40500000
3	3.146	40500001	41000000
3	3.147	41000001	41500000
3	3.148	41500001	42000000
3	3.149	42000001	42709656
4	4.001	1	500000
4	4.002	500001	1000000
4	4.003	1000001	1500000
4	4.004	1500001	2000000
4	4.005	2000001	2500000
4	4.006	2500001	3000000
4	4.007	3000001	3500000
4	4.008	3500001	4000000
4	4.009	4000001	4500000
4	4.01	4500001	5000000
4	4.011	5000001	5100000
4	4.012	5100001	5200000
4	4.013	5200001	5300000
4	4.014	5300001	5400000
4	4.015	5400001	5500000
4	4.016	5500001	5600000
4	4.017	5600001	5700000
4	4.018	5700001	5800000
4	4.019	5800001	5900000
4	4.02	5900001	6000000
4	4.021	6000001	6500000
4	4.022	6500001	7000000
4	4.023	7000001	7500000
4	4.024	7500001	8000000
4	4.025	8000001	8500000
4	4.026	8500001	9000000
4	4.027	9000001	9500000
4	4.028	9500001	10000000
4	4.029	10000001	10500000
4	4.03	10500001	11000000
4	4.031	11000001	11500000
4	4.032	11500001	12000000
4	4.033	12000001	12500000
4	4.034	12500001	13000000
4	4.035	13000001	14000000
4	4.036	14000001	15000000
4	4.037	15000001	16000000
4	4.038	16000001	17000000
4	4.039	17000001	17100000
4	4.04	17100001	17200000
4	4.041	17200001	17300000
4	4.042	17300001	17400000
4	4.043	17400001	17500000
4	4.044	17500001	17600000
4	4.045	17600001	17700000
4	4.046	17700001	17800000
4	4.047	17800001	17900000
4	4.048	17900001	18000000
4	4.049	18000001	18100000
4	4.05	18100001	18200000
4	4.051	18200001	18300000
4	4.052	18300001	18400000
4	4.053	18400001	18500000
4	4.054	18500001	18600000
4	4.055	18600001	18700000
4	4.056	18700001	18800000
4	4.057	18800001	18900000
4	4.058	18900001	19000000
4	4.059	19000001	19100000
4	4.06	19100001	19200000
4	4.061	19200001	19300000
4	4.062	19300001	19400000
4	4.063	19400001	19500000
4	4.064	19500001	19600000
4	4.065	19600001	19700000
4	4.066	19700001	19800000
4	4.067	19800001	19900000
4	4.068	19900001	20000000
4	4.069	20000001	20100000
4	4.07	20100001	20200000
4	4.071	20200001	20300000
4	4.072	20300001	20400000
4	4.073	20400001	20500000
4	4.074	20500001	20600000
4	4.075	20600001	20700000
4	4.076	20700001	20800000
4	4.077	20800001	20900000
4	4.078	20900001	21000000
4	4.079	21000001	21100000
4	4.08	21100001	21200000
4	4.081	21200001	21300000
4	4.082	21300001	21400000
4	4.083	21400001	21500000
4	4.084	21500001	21600000
4	4.085	21600001	21700000
4	4.086	21700001	21800000
4	4.087	21800001	21900000
4	4.088	21900001	22000000
4	4.089	22000001	22100000
4	4.09	22100001	22200000
4	4.091	22200001	22300000
4	4.092	22300001	22400000
4	4.093	22400001	22500000
4	4.094	22500001	22600000
4	4.095	22600001	22700000
4	4.096	22700001	22800000
4	4.097	22800001	22900000
4	4.098	22900001	23000000
4	4.099	23000001	23100000
4	4.1	23100001	23200000
4	4.101	23200001	23300000
4	4.102	23300001	23400000
4	4.103	23400001	23500000
4	4.104	23500001	23600000
4	4.105	23600001	23700000
4	4.106	23700001	23800000
4	4.107	23800001	23900000
4	4.108	23900001	24000000
4	4.109	24000001	24500000
4	4.11	24500001	25000000
4	4.111	25000001	25500000
4	4.112	25500001	26000000
4	4.113	26000001	27000000
4	4.114	27000001	28000000
4	4.115	28000001	29000000
4	4.116	29000001	30000000
4	4.117	30000001	31000000
4	4.118	31000001	32000000
4	4.119	32000001	33000000
4	4.12	33000001	34000000
4	4.121	34000001	35000000
4	4.122	35000001	35500000
4	4.123	35500001	36000000
4	4.124	36000001	36500000
4	4.125	36500001	37000000
4	4.126	37000001	37500000
4	4.127	37500001	38000000
4	4.128	38000001	38500000
4	4.129	38500001	39000000
4	4.13	39000001	39500000
4	4.131	39500001	40000000
4	4.132	40000001	40500000
4	4.133	40500001	41000000
4	4.134	41000001	41500000
4	4.135	41500001	42000000
4	4.136	42000001	42500000
4	4.137	42500001	43000000
4	4.138	43000001	43500000
4	4.139	43500001	44000000
4	4.14	44000001	44500000
4	4.141	44500001	45000000
4	4.142	45000001	45500000
4	4.143	45500001	45830269
5	5.01	1	500000
5	5.02	500001	1000000
5	5.03	1000001	1500000
5	5.04	1500001	2000000
5	5.05	2000001	2500000
5	5.06	2500001	3000000
5	5.07	3000001	3500000
5	5.08	3500001	4000000
5	5.09	4000001	4500000
5	5.1	4500001	5000000
5	5.11	5000001	5500000
5	5.12	5500001	6000000
5	5.13	6000001	6500000
5	5.14	6500001	7000000
5	5.15	7000001	7400000
5	5.16	7400001	7700000
5	5.17	7700001	8500000
5	5.18	8500001	9000000
5	5.19	9000001	9500000
5	5.2	9500001	10000000
5	5.21	10000001	10500000
5	5.22	10500001	11000000
5	5.23	11000001	11500000
5	5.24	11500001	12000000
5	5.25	12000001	12500000
5	5.26	12500001	13000000
5	5.27	13000001	13500000
5	5.28	13500001	14000000
5	5.29	14000001	14500000
5	5.3	14500001	15000000
5	5.31	15000001	15500000
5	5.32	15500001	16000000
5	5.33	16000001	17000000
5	5.34	17000001	18000000
5	5.35	18000001	19000000
5	5.36	19000001	20000000
5	5.37	20000001	21000000
5	5.38	21000001	22000000
5	5.39	22000001	23000000
5	5.4	23000001	24000000
5	5.41	24000001	25000000
5	5.42	25000001	26000000
5	5.43	26000001	27000000
5	5.44	27000001	28000000
5	5.45	28000001	29000000
5	5.46	29000001	30000000
5	5.47	30000001	31000000
5	5.48	31000001	31500000
5	5.49	31500001	32000000
5	5.5	32000001	32500000
5	5.51	32500001	33000000
5	5.52	33000001	33500000
5	5.53	33500001	34000000
5	5.54	34000001	34500000
5	5.55	34500001	35000000
5	5.56	35000001	35500000
5	5.57	35500001	36000000
5	5.58	36000001	36500000
5	5.59	36500001	37000000
5	5.6	37000001	37500000
5	5.61	37500001	38000000
5	5.62	38000001	38500000
5	5.63	38500001	39000000
5	5.64	39000001	39500000
5	5.65	39500001	40000000
5	5.66	40000001	40500000
5	5.67	40500001	41000000
5	5.68	41000001	41500000
5	5.69	41500001	42000000
5	5.7	42000001	42500000
5	5.71	42500001	43000000
5	5.72	43000001	43500000
5	5.73	43500001	44000000
5	5.74	44000001	44547717
6	6.01	1	500000
6	6.02	500001	1000000
6	6.03	1000001	1500000
6	6.04	1500001	2000000
6	6.05	2000001	2500000
6	6.06	2500001	3000000
6	6.07	3000001	3500000
6	6.08	3500001	4000000
6	6.09	4000001	4500000
6	6.1	4500001	5000000
6	6.11	5000001	5500000
6	6.12	5500001	6000000
6	6.13	6000001	6500000
6	6.14	6500001	7000000
6	6.15	7000001	7500000
6	6.16	7500001	8000000
6	6.17	8000001	8500000
6	6.18	8500001	9000000
6	6.19	9000001	9500000
6	6.2	9500001	10000000
6	6.21	10000001	10500000
6	6.22	10500001	11000000
6	6.23	11000001	11500000
6	6.24	11500001	12000000
6	6.25	12000001	13000000
6	6.26	13000001	14000000
6	6.27	14000001	15000000
6	6.28	15000001	16000000
6	6.29	16000001	17000000
6	6.3	17000001	18000000
6	6.31	18000001	19000000
6	6.32	19000001	19500000
6	6.33	19500001	19800000
6	6.34	19800001	20000000
6	6.35	20000001	21000000
6	6.36	21000001	22000000
6	6.37	22000001	23000000
6	6.38	23000001	24000000
6	6.39	24000001	25000000
6	6.4	25000001	26000000
6	6.41	26000001	26500000
6	6.42	26500001	27000000
6	6.43	27000001	27500000
6	6.44	27500001	28000000
6	6.45	28000001	28500000
6	6.46	28500001	29000000
6	6.47	29000001	29500000
6	6.48	29500001	30000000
6	6.49	30000001	30424310
7	7.001	1	500000
7	7.002	500001	1000000
7	7.003	1000001	1500000
7	7.004	1500001	2000000
7	7.005	2000001	2500000
7	7.006	2500001	3000000
7	7.007	3000001	3500000
7	7.008	3500001	4000000
7	7.009	4000001	4500000
7	7.01	4500001	5000000
7	7.011	5000001	5500000
7	7.012	5500001	6000000
7	7.013	6000001	6500000
7	7.014	6500001	7000000
7	7.015	7000001	7500000
7	7.016	7500001	8000000
7	7.017	8000001	8500000
7	7.018	8500001	9000000
7	7.019	9000001	9500000
7	7.02	9500001	10000000
7	7.021	10000001	10200000
7	7.022	10200001	10700000
7	7.023	10700001	11200000
7	7.024	11200001	11700000
7	7.025	11700001	12200000
7	7.026	12200001	12700000
7	7.027	12700001	13100000
7	7.028	13100001	13150000
7	7.029	13150001	13500000
7	7.03	13500001	14000000
7	7.031	14000001	14500000
7	7.032	14500001	15000000
7	7.033	15000001	16000000
7	7.034	16000001	17000000
7	7.035	17000001	18000000
7	7.036	18000001	19000000
7	7.037	19000001	20000000
7	7.038	20000001	21000000
7	7.039	21000001	22000000
7	7.04	22000001	23000000
7	7.041	23000001	24000000
7	7.042	24000001	25000000
7	7.043	25000001	25100000
7	7.044	25100001	25200000
7	7.045	25200001	25300000
7	7.046	25300001	25400000
7	7.047	25400001	25500000
7	7.048	25500001	25600000
7	7.049	25600001	25700000
7	7.05	25700001	25800000
7	7.051	25800001	25900000
7	7.052	25900001	26000000
7	7.053	26000001	26100000
7	7.054	26100001	26200000
7	7.055	26200001	26300000
7	7.056	26300001	26400000
7	7.057	26400001	26500000
7	7.058	26500001	26600000
7	7.059	26600001	26700000
7	7.06	26700001	26800000
7	7.061	26800001	26900000
7	7.062	26900001	27000000
7	7.063	27000001	27500000
7	7.064	27500001	28000000
7	7.065	28000001	28500000
7	7.066	28500001	29000000
7	7.067	29000001	29100000
7	7.068	29100001	29200000
7	7.069	29200001	29300000
7	7.07	29300001	29400000
7	7.071	29400001	29500000
7	7.072	29500001	29600000
7	7.073	29600001	29700000
7	7.074	29700001	29800000
7	7.075	29800001	29900000
7	7.076	29900001	30000000
7	7.077	30000001	30100000
7	7.078	30100001	30200000
7	7.079	30200001	30300000
7	7.08	30300001	30400000
7	7.081	30400001	30500000
7	7.082	30500001	30600000
7	7.083	30600001	30700000
7	7.084	30700001	30800000
7	7.085	30800001	30900000
7	7.086	30900001	31000000
7	7.087	31000001	31500000
7	7.088	31500001	32000000
7	7.089	32000001	32500000
7	7.09	32500001	33000000
7	7.091	33000001	33500000
7	7.092	33500001	34200000
7	7.093	34200001	34500000
7	7.094	34500001	35000000
7	7.095	35000001	35500000
7	7.096	35500001	36000000
7	7.097	36000001	36500000
7	7.098	36500001	37000000
7	7.099	37000001	37500000
7	7.1	37500001	38000000
7	7.101	38000001	38500000
7	7.102	38500001	39000000
7	7.103	39000001	39500000
7	7.104	39500001	40000000
7	7.105	40000001	40500000
7	7.106	40500001	41000000
7	7.107	41000001	41500000
7	7.108	41500001	42000000
7	7.109	42000001	42500000
7	7.11	42500001	43000000
7	7.111	43000001	43571201
